1．（2017•安徽）12的相反数是（　　）A．12B．-12C．2 D．-2难度：0.81真题：71组卷：723
229．（2016秋•房山区期中）3的相反数是（　　）A．-3 B．+3 C．0.3 D．|-3|难度：0.82真题：13组卷：12
230．（2016秋•临河区期中）下列各组数中，互为相反数的一组是（　　）A．-13和0.333 B．-[+（-7）]和7 C．-14和0.25 D．-（-6）和6难度：0.82真题：6组卷：70
231．（2016秋•逊克县期中）如果□+2=0，那么“□”内应填的有理数是（　　）A．-2 B．-12C．±12D．12难度：0.92真题：5组卷：24
232．（2016秋•雁塔区校级期中）相反数等于本身的数是（　　）A．正数 B．负数 C．零 D．有理数难度：0.82真题：5组卷：12
233．（2016秋•杜尔伯特县期中）下列说法：①若a、b互为相反数，则a+b=0；②若a+b=0，则a、b互为相反数；③若a、b互为相反数，则ab＝−1；④若ab＝−1，则a、b互为相反数．其中正确的结论是（　　）A．②③④ B．①②③ C．①②④ D．①②难度：0.59真题：5组卷：344
234．（2016秋•崇仁县校级期中）-3的相反数是（　　）A．13B．3 C．±13D．-3难度：0.82真题：4组卷：35
235．（2016秋•白银期中）5的相反数是（　　）A．5 B．-5 C．±5 D．15难度：0.77真题：4组卷：30
236．（2016秋•冠县期中）下列说法中，正确的个数有（　　）①-a一定是负数；②|-a|一定是正数；③倒数等它本身的数是±1；④绝对值等于它本身的数是1；⑤两个有理数的和一定大于其中每一个加数；⑥如果两个数的和为零，那么这两个数一定是一正一负．A．1个 B．2个 C．3个 D．4个难度：0.54真题：4组卷：41
237．（2016秋•海原县期中）-|-6|的相反数是（　　）A．6 B．-6 C．±6 D．16难度：0.81真题：3组卷：5
238．（2016秋•杭州期中）下列各数中，互为相反数的是（　　）A．-（-25）与-52 B．（-3）2与32 C．-3与-|-3| D．-6与（-2）×3难度：0.77真题：3组卷：28
239．（2016秋•龙口市期中）一个数的相反数小于原数，这个数是（　　）A．正数 B．负数 C．零 D．正分数难度：0.74真题：3组卷：34
240．（2016秋•扬中市期中）下列各数中，一定互为相反数的是（　　）A．-（-5）和-|-5| B．|-5|和|+5| C．-（-5）和|-5| D．|a|和|-a|难度：0.73真题：3组卷：51
241．（2016秋•靖远县期中）下列各对数中，不是互为相反数的是（　　）A．-（-3）与-|-3| B．-32与（-3）2 C．-100与（-10）2 D．（-2）3与-23难度：0.73真题：3组卷：17
242．（2016秋•永登县期中）下列各数中，互为相反数的是（　　）A．-3与-|-3| B．（-3）2与32 C．-（-25）与-52 D．-6与（-2）×3难度：0.73真题：3组卷：15
243．（2016秋•西陵区校级期中）a-b的相反数是（　　）A．a+b B．-（a+b） C．b-a D．-a-b难度：0.64真题：3组卷：20
244．（2016秋•太谷县校级期中）p、q互为相反数，那么p+（-1）+q+（-3）的值为（　　）A．-4 B．4 C．0 D．不能确定难度：0.83真题：2组卷：9
245．（2016秋•太谷县校级期中）x-y+z的相反数是（　　）A．x-y-z B．-x+y-z C．-y+z-x D．x+y+z难度：0.83真题：2组卷：13
246．（2016秋•博白县期中）3的相反数是（　　）A．-3 B．3 C．13D．-13难度：0.80真题：2组卷：2
247．（2016春•东阳市期中）下列各数中是-2的相反数是（　　）A．12B．-0.5 C．2 D．-|-2|难度：0.75真题：2组卷：9
248．（2016秋•海丰县校级期中）下列各数中，互为相反数的是（　　）A．+2与-|-2| B．（-4）2与42 C．-（-25）与25 D．-3与-（+3）难度：0.73真题：2组卷：16
249．（2016秋•东光县期中）下列各对数中互为相反数的是（　　）A．-（+5）和+（-5） B．-（-5）和+（-5） C．-（+5）和-5 D．+（-5）和-5难度：0.68真题：2组卷：81
250．（2016秋•洪湖市期中）已知a=|1-b|，b的相反数等于1.5，则a的值为（　　）A．2.5 B．0.5 C．±2.5 D．1.5难度：0.66真题：2组卷：80
251．（2016秋•揭西县校级期中）下列各数中互为相反数的是（　　）A．-12与0.2 B．13与-0.33 C．-2.25与214D．5与-（-5）难度：0.60真题：2组卷：10
252．（2016秋•宜昌期中）相反数是2的数是（　　）A．-2 B．12C．2 D．−12难度：0.60真题：2组卷：12
253．（2016秋•永城市期中）-12016的相反数是（　　）A．-2016 B．2016 C．-12016D．12016难度：0.60真题：2组卷：0
254．（2016秋•睢宁县期中）-（-2）的相反数是（　　）A．2 B．-2 C．12D．−12难度：0.60真题：2组卷：4
255．（2016秋•福田区校级期中）有理数23的相反数是（　　）A．−32B．−23C．32D．23难度：0.80真题：1组卷：5
256．（2016秋•微山县期中）下列说法中正确的是（　　）A．整数都是非负数B．带有负号的数一定是负数C．分数都是有理数D．相反数是它本身的数是0和1难度：0.60真题：1组卷：12
257．（2016秋•柳江县期中）-2的相反数是（　　）A．2 B．12C．-2 D．以上都不对难度：0.60真题：1组卷：1
258．（2016秋•岑溪市期中）-3的相反数是（　　）A．-3 B．-13C．3 D．13难度：0.60真题：1组卷：1
259．（2016秋•西城区校级期中）a，b互为相反数，那么下面不互为相反数的为（　　）A．-a和b B．a4和b4C．a3和b3 D．-a2和b2难度：0.60真题：1组卷：2
260．（2016秋•邵阳县校级期中）-（-32）的相反数是（　　）A．9 B．-9 C．6 D．-6难度：0.60真题：1组卷：15
261．（2016秋•逊克县期中）有理数13的相反数是（　　）A．13B．3 C．-3 D．-13难度：0.60真题：1组卷：0
262．（2016秋•无棣县期中）一个数的相反数是-2017，则这个数是（　　）A．2017 B．-2017 C．12017D．-12017难度：0.60真题：1组卷：0
263．（2016秋•崇安区期中）下列结论正确的是（　　）A．任何数都不等于它的相反数B．符号相反的数互为相反数C．若有理数a，b互为相反数，则它们一定异号D．若有理数a，b互为相反数，那么a+b=0难度：0.60真题：1组卷：18
264．（2016春•新泰市期中）一个数在数轴上的对应点与它的相反数在数轴上的对应点的距离是5个单位长度，那么这个数是（　　）A．5或-5 B．5或-52C．52或-52D．-5或52难度：0.60真题：1组卷：272
265．（2016秋•金堂县期中）32的相反数是（　　）A．32B．-32C．-23D．23难度：0.60真题：1组卷：5
266．（2016秋•金堂县期中）下列说法正确的是（　　）A．有理数分为正数和负数B．符号不同的两个数互为相反数C．所有的有理数都能用数轴上的点表示D．两数相加，和一定大于任何一个数难度：0.60真题：1组卷：7
267．（2016秋•山亭区期中）（-3）2的相反数是（　　）A．-6 B．9 C．-9 D．−19难度：0.60真题：1组卷：0
268．（2016秋•秀峰区校级期中）-8的相反数等于（　　）A．6 B．16C．−18D．8难度：0.60真题：1组卷：3
269．（2016秋•文安县期中）a的相反数是（　　）A．|a| B．1aC．-a D．以上都不对难度：0.60真题：1组卷：2
270．（2016春•浦东新区期中）下列各对数中，互为相反数的是（　　）A．22与（-2）2 B．23与-32 C．-（23）4与（-23）4 D．（-2）3与-23难度：0.60真题：1组卷：175
271．（2016秋•泉港区期中）2016的相反数是（　　）A．-2016 B．-12016C．2016 D．12016难度：0.60真题：1组卷：4
272．（2016秋•大石桥市校级期中）89的相反数是（　　）A．98B．89C．-89D．-98难度：0.60真题：1组卷：4
273．（2016秋•天门校级期中）式子-2a+b-c的相反数是（　　）A．2a+b-c B．-2a-b+c C．2a-b-c D．2a-b+c难度：0.60真题：1组卷：20
274．（2016秋•老河口市期中）有理数-12的相反数是（　　）A．-12B．12C．-2 D．2难度：0.60真题：1组卷：3
275．（2016秋•重庆期中）14的相反数为（　　）A．4 B．-4 C．14D．-14难度：0.60真题：1组卷：4
276．（2016秋•西陵区校级期中）下面两个数互为相反数的是（　　）A．-（+9）与+（-9） B．-0.5与-（+0.5）C．-1.25与45D．+（-0.01）与-（-1100）难度：0.60真题：1组卷：4
277．（2016秋•城区校级期中）如图，在数轴上表示互为相反数的两数的点是（　　）A．点A和点C B．点B和点A C．点C和点B D．点D和点B难度：0.60真题：1组卷：8
278．（2016秋•桐城市校级期中）两个非零有理数a，b互为相反数，则下列说法错误的是（　　）A．a+b=0 B．a3=b3 C．a2=b2 D．ab＝−1难度：0.60真题：1组卷：12
279．（2016秋•濉溪县期中）下列各代数式：①a-b与-a-b；②a+b与-a-b；③a+1与1-a；④-a+b与a-b．其中互为相反数的有（　　）A．①② B．②④ C．②③④ D．①②③④难度：0.60真题：1组卷：6
280．（2016秋•乌审旗期中）a，b互为相反数，下列各数中，互为相反数的一组为（　　）A．a2与b2B．a3与b5C．a2n与b2n （n为正整数）D．a2n+1与b2n+1（n为正整数）难度：0.60真题：1组卷：88
281．（2016秋•黄陂区期中）a与-2互为相反数，那么a是（　　）A．2 B．-2 C．-12D．12难度：0.60真题：1组卷：2
282．（2016秋•相城区期中）一个数的相反数是-12，这个数是（　　）A．12B．2 C．-2 D．−12难度：0.60真题：1组卷：4
283．（2016秋•阳信县期中）下面各对数中互为相反数的是（　　）A．2与-|-2| B．-2与-|2| C．|-2|与|2| D．2与-（-2）难度：0.60真题：1组卷：8
284．（2016春•苏仙区校级期中）12016的相反数是（　　）A．12016B．2016 C．-12016D．-2016难度：0.60真题：1组卷：6
285．（2016秋•柘城县期中）a的相反数是（　　）A．|a| B．1aC．-a D．以上都不对难度：0.60真题：1组卷：0
286．（2016春•衡阳县校级期中）要使5m+14与14+5m互为相反数，那么m的值是（　　）A．−120B．120C．0 D．−54难度：0.60真题：1组卷：147
287．（2016秋•建湖县期中）2016的相反数是（　　）A．2016 B．-2016 C．±2016 D．12016难度：0.60真题：1组卷：0
288．（2016秋•大悟县期中）4的相反数等于（　　）A．4 B．14C．-4 D．-14难度：0.60真题：1组卷：0
289．（2016秋•泰山区期中）有理数-7的相反数是（　　）A．-17B．17C．7 D．±7难度：0.60真题：1组卷：5
290．（2016春•静宁县校级期中）下列各数中，互为相反数的是（　　）A．-2与（-2）2 B．-2与2 C．-2与-12D．12与-2难度：0.60真题：1组卷：0
291．（2016秋•新城区校级月考）下列各组数中，互为相反数的是（　　）A．−12和−(+12) B．-（+3）和+|-3| C．-（-3）和+（+3） D．-4和-（+4）难度：0.83真题：11组卷：70
292．（2016秋•薛城区校级月考）若a的相反数是非负数，则a为（　　）A．负数 B．负数或零 C．正数 D．正数或零难度：0.81真题：7组卷：74
293．（2016秋•京口区月考）下列各组数中，互为相反数的是（　　）A．2与12B．（-1）2与1 C．-1与（-1）3 D．-（-2）与-|-2|难度：0.73真题：7组卷：54
294．（2016秋•寿光市校级月考）已知a是有理数，则下列判断：①a是正数；②-a是负数；③a与-a必然有一个负数；④a与-a互为相反数．其中正确的个数是（　　）A．1个 B．2个 C．3个 D．4个难度：0.63真题：7组卷：412
295．（2016秋•石林县月考）一个有理数和它的相反数的积（　　）A．符号必为正 B．符号必为负C．一定不大于0 D．一定大于0难度：0.76真题：6组卷：59
296．（2016秋•滨州月考）下列几种说法中，正确的是（　　）A．任意有理数a的相反数是-aB．绝对值等于其本身的数必是正数C．在一个数前面加上“-”号所得的数是负数D．最小的自然数是1难度：0.73真题：6组卷：118
297．（2016秋•长春月考）已知a与b互为相反数，则下列式子：①a+b=0，②a=-b，③b=-a，④a=b，⑤ab＝−1，其中一定成立的是（　　）A．1个 B．2个 C．3个 D．4个难度：0.60真题：6组卷：109
298．（2016秋•房山区校级月考）若a，b互为相反数，则下面四个等式中一定成立的是（　　）A．a+b=0 B．a+b=1 C．|a|+|b|=0 D．|a|+b=0难度：0.91真题：5组卷：44
299．（2016秋•曲阜市校级月考）一个数的相反数是非负数，这个数是（　　）A．负数 B．非负数 C．正数 D．非正数难度：0.83真题：5组卷：39
300．（2016秋•锡山区校级月考）下列式子化简不正确的是（　　）A．+（-5）=-5 B．-（-0.5）=0.5 C．-|+3|=-3 D．-（+112）=112难度：0.66真题：4组卷：59
301．（2016秋•华安县校级月考）下列说法错误的是（　　）A．+（-3）的相反数是3 B．-（+3）的相反数是3C．-（-8）的相反数是-8 D．-（+18）的相反数是8难度：0.83真题：3组卷：16
302．（2016秋•泉山区校级月考）-12的相反数是（　　）A．12B．2 C．-2 D．-12难度：0.77真题：3组卷：10
303．（2016秋•永定县校级月考）下列几组数中互为相反数的是（　　）A．-17和0.7 B．13和-0.333 C．-（-6）和6 D．-14和0.25难度：0.83真题：2组卷：13
304．（2016秋•东莞市月考）两个有理数的和为零，则这两个数一定是（　　）A．都是零B．至少有一个是零C．一个是正数，一个是负数D．互为相反数难度：0.82真题：2组卷：15
305．（2016秋•长春月考）一个数在数轴上所对应的点向右移动8个单位后，得到它的相反数，则这个数是（　　）A．4 B．-4 C．8 D．-8难度：0.80真题：2组卷：25
306．（2016秋•江阴市月考）下列几对数中，互为相反数的是（　　）A．34和-0.75 B．-|-5|和-5 C．π和-3.14 D．13和-3难度：0.77真题：2组卷：40
307．（2016秋•宜兴市月考）下列各对数中，互为相反数的是（　　）A．+（-5）和-（+5） B．-|-3|和+（-3） C．（-1）2和-12 D．（-1）3和-13难度：0.75真题：2组卷：55
308．（2016秋•萧山区月考）下列各组数中，互为相反数的是（　　）A．2和12B．-2和12C．238和-2.375 D．+（-2）和-2难度：0.75真题：2组卷：24
309．（2016秋•宜阳县校级月考）下列结论正确的是（　　）A．-4与+（-4）互为相反数 B．0的相反数是0C．-23与32互为相反数 D．-54本身是相反数难度：0.73真题：2组卷：33
310．（2016秋•商水县校级月考）下列说法错误的是（　　）A．6是-6的相反数 B．-6是-（-6）的相反数C．-（+8）与+（-8）互为相反数 D．+（-8）与-（-8）互为相反数难度：0.68真题：2组卷：36
311．（2016秋•宝坻区校级月考）下列各数中，互为相反数的是（　　）A．-（-2）与-（+2） B．+（-5）与-|-5| C．|-3|与|+3| D．|a|与|-a|难度：0.66真题：2组卷：29
312．（2016秋•宁津县校级月考）A、B是数轴上两点，线段AB上的点表示的数中，存在互为相反数的是（　　）A． B． C． D．难度：0.60真题：1组卷：24
313．（2016秋•高密市校级月考）已知数轴上A、B表示的数互为相反数，并且两点间的距离是8，点A在点B的左边，则点A、B表示的数分别是（　　）A．-4，4 B．4，-4 C．8，-8 D．-8，8难度：0.60真题：1组卷：8
314．（2016秋•南岗区校级月考）6912的相反数是（　　）A．-6912 B．16912C．-1269 D．-16912难度：0.60真题：1组卷：5
315．（2016秋•绥滨县校级月考）当m为偶数时，（a-b）m•（b-a）n与（a-b）m+n的关系是（　　）A．相等 B．互为相反数 C．大于 D．无法确定难度：0.60真题：1组卷：6
316．（2016秋•泰顺县校级月考）3的相反数是（　　）A．-3 B．+3 C．0.3 D．13难度：0.60真题：1组卷：6
317．（2016秋•如皋市校级月考）-（-3）的相反数是（　　）A．−13B．13C．-3 D．3难度：0.60真题：1组卷：7
318．（2016秋•孝南区月考）下列各对数：-2与+（-2），+（+3）与-3，-（-12）与+（-12），-（-12）与+（+12），-（+1）与-（-1）．其中互为相反数的有（　　）A．0对 B．1对 C．2对 D．3对难度：0.60真题：1组卷：15
319．（2016秋•巴南区校级月考）一个数与它的相反数在数轴上的对应点之间的距离为4个单位长度，则这个数是（　　）A．2或-2 B．4或-4 C．-1或3 D．1或-3难度：0.60真题：1组卷：17
320．（2016秋•高密市校级月考）下列各对数中互为相反数的有（　　）（1）-1与+1  （2）+（+1）与-1  （3）-（-3）与+（-3）（4）-（-13）与+（+13）（5）+[-（+1）]与-[+（-1）]（6）-（+2）与-（-2）A．6对 B．5对 C．4对 D．3对难度：0.60真题：1组卷：14
321．（2016春•凌海市校级月考）2的倒数的相反数是（　　）A．12B．−12C．2 D．-2难度：0.60真题：1组卷：29
322．（2016秋•襄城区校级月考）下列判断中，不正确的是（　　）A．正数的相反数是负数，负数的相反数是正数B．在数轴上，和原点距离相等的两个点所表示的数一定互为相反数C．符号不同的两个数互为相反数D．两个数互为相反数，则这两个数有可能相等难度：0.60真题：1组卷：14
323．（2016秋•孝南区月考）-a-b+c的相反数是（　　）A．a+b+c B．a-b+c C．a+b-c D．c+a-b难度：0.60真题：1组卷：4
324．（2016秋•荣县月考）已知a与b互为相反数，且a≠0，则下列式子：①a+b=0；②a=-b；③ab=-1；④a=b； ⑤ab=-1，其中一定成立的有（　　）A．1个 B．2个 C．3个 D．4个难度：0.60真题：1组卷：1
325．（2016秋•邗江区校级月考）下列说法中，正确的是（　　）A．正数和负数互为相反数B．一个数的相反数一定比它本身小C．任何有理数都有相反数D．没有相反数等于它本身的数难度：0.60真题：1组卷：14
326．（2016秋•启东市校级月考）下列说法正确的是（　　）A．整数就是正整数和负整数B．零是自然数，但不是正整数C．有理数中不是负数就是正数D．负整数的相反数就是非负整数难度：0.60真题：1组卷：11
327．（2016秋•长春月考）下列各对数互为相反数的是（　　）A．4和-（-4） B．-3和13C．-2和-12D．0和0难度：0.60真题：1组卷：12
328．（2016秋•宜阳县校级月考）下列化简错误的是（　　）A．-（+2.7）=-2.7 B．+（-8）=-8 C．-（-12）=-12D．+（+4）=+4难度：0.60真题：1组卷：13
329．（2016秋•独山县校级月考）已知p与q互为相反数，且p≠0，那么下列关系式正确的是（　　）A．p•q=1 B．p+q=0 C．p+q=1 D．p-q=0难度：0.60真题：1组卷：12
330．（2016秋•北流市校级月考）如果a+b=0，那么实数a、b的值是（　　）A．互为相反数 B．互为倒数C．都是0 D．至少有一个0难度：0.60真题：1组卷：15
331．（2016秋•富顺县月考）如果x的倒数是13，那么它的相反数是（　　）A．3 B．-3 C．−13D．13难度：0.60真题：1组卷：5
332．（2015•荆州）-2的相反数是（　　）A．-12B．-2 C．12D．2难度：0.93真题：430组卷：2951
333．（2015•盘锦）-12的相反数是（　　）A．2 B．-2 C．12D．-12难度：0.97真题：104组卷：1643
334．（2015•莆田）-2的相反数是（　　）A．12B．2 C．-12D．-2难度：0.98真题：89组卷：693
335．（2015•鄂尔多斯）-12的相反数是（　　）A．-2 B．2 C．-12D．12难度：0.96真题：68组卷：334
336．（2015•云南）-2的相反数是（　　）A．-2 B．2 C．-12D．12难度：0.99真题：66组卷：285
337．（2015•淮安）2的相反数是（　　）A．12B．-12C．2 D．-2难度：0.98真题：61组卷：487
338．（2015•宁德）2015的相反数是（　　）A．12015B．-12015C．2015 D．-2015难度：0.98真题：60组卷：677
339．（2015•锦州）2015的相反数是（　　）A．2015 B．-2015 C．12015D．-12015难度：0.99真题：58组卷：314
340．（2015•铁岭）3的相反数是（　　）A．-3 B．3 C．-13D．13难度：0.95真题：57组卷：433
341．（2015•黔南州）下列说法错误的是（　　）A．-2的相反数是2B．3的倒数是13C．（-3）-（-5）=2D．-11，0，4这三个数中最小的数是0难度：0.92真题：57组卷：2966
342．（2015•宜宾）-15的相反数是（　　）A．5 B．15C．-15D．-5难度：0.78真题：56组卷：831
343．（2015•深圳）-15的相反数是（　　）A．15 B．-15 C．115D．−115难度：0.98真题：56组卷：295
344．（2015•铜仁市）2015的相反数是（　　）A．2015 B．-2015 C．-12015D．12015难度：0.97真题：55组卷：862
345．（2015•烟台）-23的相反数是（　　）A．-23B．23C．-32D．32难度：0.98真题：53组卷：566
346．（2015•济宁）-23的相反数是（　　）A．-23B．32C．23D．-32难度：0.82真题：53组卷：324
347．（2015•毕节市）-12的倒数的相反数等于（　　）A．-2 B．12C．-12D．2难度：0.69真题：53组卷：1384
348．（2015•漳州）-13的相反数是（　　）A．13B．-13C．-3 D．3难度：0.96真题：52组卷：357
349．（2015•苏州）2的相反数是（　　）A．2 B．12C．-2 D．-12难度：0.95真题：52组卷：251
350．（2015•广元）一个数的相反数是3，这个数是（　　）A．13B．-13C．3 D．-3难度：0.98真题：51组卷：788
351．（2015•本溪）实数-12的相反数是（　　）A．12B．-12C．2 D．-2难度：0.97真题：51组卷：344
352．（2015•赤峰）-2的相反数是（　　）A．2 B．12C．2D．|-2|难度：0.96真题：50组卷：401
353．（2015•老河口市模拟）如果一个数的倒数的相反数是315，那么这个数是（　　）A．165B．516C．-165D．-516难度：0.66真题：39组卷：1987
354．（2015•兴化市一模）与-3互为相反数的是（　　）A．-3 B．3 C．-13D．13难度：0.99真题：16组卷：278
355．（2015•常州二模）3的相反数是（　　）A．13B．−13C．3 D．-3难度：0.98真题：16组卷：148
356．（2015•石城县模拟）-2014的相反数是（　　）A．-2014 B．12014C．−12014D．2014难度：0.97真题：15组卷：926
357．（2015•兴化市三模）-2015的相反数是（　　）A．2015 B．-2015 C．12015D．−12015难度：0.99真题：11组卷：121
358．（2015•营口模拟）2015的相反数是（　　）A．-12015B．2015 C．12015D．-2015难度：0.98真题：10组卷：192
359．（2015•康巴什一模）-15的相反数是（　　）A．5 B．-5 C．15D．-15难度：0.77真题：10组卷：47
360．（2015•云南模拟）5的相反数是（　　）A．−15B．15C．-5 D．5难度：0.93真题：8组卷：113
361．（2015•雁江区模拟）6的相反数是（　　）A．6 B．-6 C．16D．-16难度：0.88真题：7组卷：61
362．（2015•滨海县一模）化简-（-3）的结果是（　　）A．3 B．-3 C．13D．−13难度：0.94真题：6组卷：858
363．（2015•惠安县一模）-2015的相反数是（　　）A．12015B．2015 C．-2015 D．-12015难度：0.97真题：5组卷：590
364．（2015•漯河模拟）2015的相反数是（　　）A．-12015B．12015C．-2015 D．2015难度：0.93真题：5组卷：183
365．（2015•新宾县模拟）-2015的相反数是（　　）A．2015 B．±2015 C．12015D．-12015难度：0.86真题：5组卷：93
366．（2015•嵊州市一模）-2015的相反数是（　　）A．2015 B．12015C．-12015D．-2015难度：0.82真题：5组卷：61
367．（2015•长沙模拟）-2的相反数是（　　）A．-12B．2 C．-2 D．12难度：0.82真题：4组卷：62
368．（2015•石景山区二模）4的相反数是（　　）A．-4 B．4 C．14D．−14难度：0.88真题：3组卷：70
369．（2015•平顶山三模）-13的相反数是（　　）A．3 B．13C．-3 D．-13难度：0.83真题：3组卷：124
370．（2015•陕西模拟）-4的相反数是（　　）A．-4 B．4 C．14D．-14难度：0.82真题：3组卷：53
371．（2015•市北区一模）-6的相反数是（　　）A．6 B．-6 C．-16D．16难度：0.82真题：3组卷：47
372．（2015•道外区一模）-3的相反数是（　　）A．±3 B．3 C．-3 D．13难度：0.82真题：3组卷：44
373．（2015•重庆模拟）|-2015|的相反数是（　　）A．2015 B．-2015 C．12015D．-12015难度：0.82真题：3组卷：291
374．（2015•滨湖区一模）-5的相反数是（　　）A．5 B．-5 C．15D．±5难度：0.80真题：3组卷：49
375．（2015•晋江市一模）-12015的相反数是（　　）A．-12015B．12015C．2015 D．-2015难度：0.66真题：3组卷：217
376．（2015•南充模拟）−(−12)等于（　　）A．-2 B．2 C．12D．−12难度：0.93真题：2组卷：81
377．（2015•绵阳模拟）-17的相反数是（　　）A．-7 B．7 C．17D．-17难度：0.86真题：2组卷：115
378．（2015•青岛模拟）|-7|的相反数是（　　）A．7 B．-7 C．17D．-17难度：0.83真题：2组卷：154
379．（2015•东城区一模）与-2的和为0的数是（　　）A．-2 B．−12C．12D．2难度：0.82真题：2组卷：147
380．（2015•浙江模拟）2的相反数是（　　）A．12B．2 C．-2 D．-12难度：0.80真题：2组卷：50
381．（2015•靖江市模拟）-23的相反数是（　　）A．23B．-32C．32D．-23难度：0.80真题：2组卷：58
382．（2015•曹县二模）-32的相反数是（　　）A．6 B．-6 C．9 D．-9难度：0.80真题：2组卷：132
383．（2015•太仓市模拟）12的相反数是（　　）A．2 B．-12C．0.5 D．一2难度：0.80真题：2组卷：50
384．（2015•青羊区模拟）如图，数轴上表示数-2的相反数的点是（　　）A．点N B．点M C．点Q D．点P难度：0.75真题：2组卷：392
385．（2015•郑州模拟）下列各组数中，互为相反数的两个数是（　　）A．-3和+2 B．5和15C．-6和6 D．-13和12难度：0.98真题：1组卷：381
386．（2015•平定县一模）有理数-12的相反数是（　　）A．-2 B．12C．2 D．-|-12|难度：0.93真题：1组卷：138
387．（2015•杭州模拟）|-12015|的相反数是（　　）A．2015 B．-2015 C．12015D．-12015难度：0.89真题：1组卷：257
388．（2015•南岗区三模）如果a与-3互为相反数，那么a等于（　　）A．13B．-13C．3 D．-3难度：0.82真题：1组卷：546
389．（2015•郑州校级三模）若-3+（　　）=0，则（　　）中的数应该是（　　）A．3 B．-3 C．−13D．13难度：0.82真题：1组卷：105
390．（2015•南丹县一模）-5的相反数是（　　）A．-5 B．5 C．15D．±5难度：0.80真题：1组卷：41
391．（2015•温州二模）-4的相反数是（　　）A．4 B．-14C．14D．-4难度：0.80真题：1组卷：48
392．（2015•北京校级一模）如图，点O为数轴原点，则数轴上表示互为相反数的点是（　　）A．点A和点C B．点C和点D C．点A和点D D．点B和点D难度：0.80真题：1组卷：344
393．（2015•滕州市二模）（12）2的相反数是（　　）A．4 B．-14C．14D．-4难度：0.80真题：1组卷：120
394．（2015•芦溪县模拟）-9的相反数为（　　）A．9 B．-9 C．-6 D．6难度：0.80真题：1组卷：46
395．（2015•柳州校级模拟）-2015的相反数为（　　）A．-2015 B．12015C．2015 D．±2015难度：0.80真题：1组卷：52
396．（2015•槐荫区二模）32的相反数是（　　）A．32B．23C．-32D．-23难度：0.80真题：1组卷：56
397．（2015•沙湾区模拟）-3的相反数等于（　　）A．3 B．13C．3D．±3难度：0.80真题：1组卷：56
398．（2015•新乐市一模）和-2的相反数相等的是（　　）A．-2的平方 B．-2的倒数 C．-2的绝对值 D．4的平方根难度：0.80真题：1组卷：104
399．（2015•昌平区二模）如图，数轴上有A，B，C，D四个点，其中表示-3的相反数的点是（　　）A．点A B．点B C．点C D．点D难度：0.80真题：1组卷：298
400．（2015•广东模拟）-（+2）的相反数等于（　　）A．2 B．-2 C．±2 D．±12难度：0.80真题：1组卷：245
401．（2015•天台县模拟）与2互为相反数的是（　　）A．-2 B．2 C．12D．-12难度：0.80真题：1组卷：52
402．（2015•八步区一模）下列各数中，与2互为相反数的是（　　）A．2 B．-2 C．1 D．12难度：0.80真题：1组卷：59
403．（2015•安陆市三模）12015的相反数是（　　）A．12015B．-12015C．2015 D．-2015难度：0.77真题：1组卷：88
404．（2015•彭州市校级模拟）已知a=|-12+2|，则a的相反数是（　　）A．-4 B．-3 C．-1 D．0难度：0.77真题：1组卷：482
405．（2015•海淀区一模）如图，数轴上两点A，B表示的数互为相反数，则点B表示的数为（　　）A．-1 B．1 C．-2 D．2难度：0.71真题：1组卷：211
406．（2015•杭州模拟）-12015的相反数是（　　）A．2 015 B．-2 015 C．12015D．-12015难度：0.68真题：1组卷：153
407．（2015•冷水江市校级模拟）已知a的相反数是2，则a2=（　　）A．0 B．-1 C．1 D．-a2难度：0.60真题：1组卷：123
408．（2015•市南区二模）如果a与|-7|互为相反数，则a的值是（　　）A．7 B．-7 C．17D．-17难度：0.60真题：1组卷：55
409．（2015•达拉特旗校级模拟）-4+9的相反数是（　　）A．5 B．-5 C．13 D．-13难度：0.60真题：1组卷：14
410．（2015秋•三亚校级期末）下列各式正确的是（　　）A．-|-3|=3 B．+（-3）=3 C．-（-3）=3 D．-（-3）=-3难度：0.73真题：20组卷：48
411．（2015秋•保山期末）若x的倒数是13，那么x的相反数是（　　）A．3 B．-3 C．13D．−13难度：0.89真题：15组卷：47
412．（2015秋•祁阳县期末）如果一个数的相反数比它本身大，那么这个数为（　　）A．正数 B．负数C．整数 D．不等于零的有理数难度：0.80真题：9组卷：467
413．（2015秋•柘城县期末）若有理数a与3互为相反数，则a的值是（　　）A．3 B．-3 C．13D．−13难度：0.98真题：6组卷：39
414．（2015秋•怀集县期末）下列各对数中，是互为相反数的是（　　）A．3与13B．32与-1.5 C．-3与13D．4与-5难度：0.92真题：6组卷：63
415．（2015秋•卢龙县期末）若一个数的相反数是-3，则这个数是（　　）A．13B．−13C．-3 D．+3难度：0.87真题：5组卷：34
416．（2015秋•南通校级期末）下列各对数中，互为相反数的一对是（　　）A．-23与32 B．（-2）3与-23C．（-3）2与-32 D．（-3×2）2与-3×22难度：0.82真题：5组卷：139
417．（2015秋•武昌区期末）相反数等于其本身的数是（　　）A．1 B．0 C．±1 D．0，±1难度：0.97真题：4组卷：73
418．（2015秋•沛县期末）一个数的相反数是-12，则这个数是（　　）A．12B．2 C．-12D．-2难度：0.82真题：4组卷：24
