1．（2017•随州）-2的绝对值是（　　）A．2 B．-2 C．12D．−12难度：0.98真题：121组卷：828
196．（2016秋•威海期中）如果|x|=|-5|，那么x等于（　　）A．5 B．-5 C．+5或-5 D．以上都不对难度：0.54真题：9组卷：1033
197．（2016秋•晋江市校级期中）一个有理数的绝对值等于其本身，这个数是（　　）A．正数 B．非负数 C．零 D．负数难度：0.82真题：8组卷：73
198．（2016秋•滨州期中）在-710，0，-|-5|，-0.6，2，13，-10中负数的个数有（　　）A．3 B．4 C．5 D．6难度：0.73真题：7组卷：19
199．（2016秋•槐荫区期中）下面各对数中互为相反数的是（　　）A．2与-|-2︳ B．-2与-|2| C．|-2|与|2| D．2与-（-2）难度：0.73真题：7组卷：17
200．（2016秋•阳信县期中）如果|a|=a，则（　　）A．a是正数 B．a是负数C．a是零 D．a 是正数或零难度：0.83真题：6组卷：19
201．（2016秋•巴州区校级期中）绝对值等于8的数是（　　）A．8 B．-8 C．8或-8 D．不能确定难度：0.82真题：6组卷：14
202．（2016秋•绥棱县校级期中）如果一个数的绝对值等于这个数的相反数，那么这个数一定是（　　）A．正数 B．负数 C．非正数 D．非负数难度：0.83真题：5组卷：19
203．（2016秋•罗田县校级月考）下列说法中错误的个数是（　　）（1）绝对值是它本身的数有两个，它们是1和0（2）一个有理数的绝对值必为正数（3）2的相反数的绝对值是2（4）任何有理数的绝对值都不是负数．A．0 B．1 C．2 D．3难度：0.81真题：5组卷：56
204．（2016秋•大石桥市校级期中）若|a|＞a，则a是（　　）A．正数 B．负数 C．非正数 D．非负数难度：0.79真题：5组卷：49
205．（2016秋•东莞市期中）如果|a|=a，下列各式成立的是（　　）A．a＞0 B．a＜0 C．a≥0 D．a≤0难度：0.70真题：5组卷：542
206．（2016秋•江阴市期中）已知−4xyz|3xyz|＝43，则|x|x+y|y|+|z|z值为多少（　　）A．1或-3 B．1或-1 C．-1或3 D．3或-3难度：0.64真题：5组卷：157
207．（2016秋•寿光市期中）若一个数的绝对值的相反数是-5，则这个数是（　　）A．5 B．-5 C．±5 D．0或5难度：0.49真题：5组卷：52
208．（2016秋•寿光市期中）若|m|=|n|，则m与n的关系是（　　）A．互为相反数 B．相等C．互为相反数或相等 D．都是0难度：0.82真题：4组卷：12
209．（2016秋•防城港期中）若|a|=-a，则a是（　　）A．非负数 B．负数 C．正数 D．非正数难度：0.66真题：4组卷：62
210．（2016秋•来宾期中）绝对值不大于3的整数的个数是（　　）A．4 B．5 C．6 D．7难度：0.66真题：4组卷：85
211．（2016秋•乐昌市期中）下列各数：3，0，-10，0.58，-（-6），-|-9|，（-4）2 中，负数有（　　）A．1个 B．2个 C．3个 D．4个难度：0.80真题：3组卷：9
212．（2016秋•龙华区期中）若|x|=5，|y|=2且x＜0，y＞0则x+y=（　　）A．7 B．-7 C．3 D．-3难度：0.73真题：3组卷：35
213．（2016秋•渝中区校级期中）有理数a、b满足：a＜0＜b，且|a|＞|b|，化简式子：|a+b|+|b-a|的结果为（　　）A．2a B．-2a C．2b D．-2b难度：0.73真题：3组卷：47
214．（2016秋•邵阳县校级期中）一个有理数的相反数与自身绝对值的和（　　）A．可能是负数 B．必为正数 C．必为非负数 D．必为0难度：0.71真题：3组卷：20
215．（2016秋•汨罗市校级期中）若|y|=5，则y=（　　）A．5 B．-5 C．5或-5 D．任何数难度：0.64真题：3组卷：24
216．（2016秋•泰山区期中）绝对值大于2且不大于5的整数有（　　）A．3个 B．4个 C．5个 D．6个难度：0.61真题：3组卷：543
217．（2016秋•西城区校级期中）下列算式中，结果是正数的是（　　）A．-[-（-3）] B．-|-（-3）|3 C．-（-3）2 D．-32×（-2）3难度：0.60真题：3组卷：11
218．（2016秋•仁寿县期中）下列各式中，等号不成立的是（　　）A．|-4|=4 B．-|4|=-|-4| C．|-4|=|4| D．-|-4|=4难度：0.60真题：3组卷：15
219．（2016秋•苏仙区校级期中）下列各组数中，互为相反数的是（　　）A．-2和|-2| B．-2和−12C．2和12D．-（-2）和|-2|难度：0.60真题：3组卷：13
220．（2016秋•永定区期中）-12的绝对值是（　　）A．-2 B．-12C．12D．2难度：0.60真题：3组卷：5
221．（2016春•安徽校级期中）如果|3x-2|=2-3x，那么，x的取值范围是（　　）A．等于23B．大于23C．不大于23D．不小于23难度：0.71真题：2组卷：138
222．（2016秋•宜昌期中）若|a|=a，则a一定是（　　）A．非负数 B．负数 C．正数 D．零难度：0.66真题：2组卷：60
223．（2016秋•简阳市期中）已知|a|=5，|b|=2，|a-b|=b-a，则a+b的值是（　　）A．-7 B．-3 C．-7或-3 D．以上都不对难度：0.66真题：2组卷：141
224．（2016秋•简阳市期中）如果|x-2|=2-x，那么（　　）A．x＜2 B．x＞2 C．x≤2 D．x≥2难度：0.66真题：2组卷：83
225．（2016秋•抚顺县期中）若|a|=8，|b|=5，且a＞0，b＜0，a-b的值是（　　）A．3 B．-3 C．13 D．-13难度：0.60真题：2组卷：14
226．（2016秋•五莲县期中）在有理数0，（-1）2，−(−32)，-|-2|，（-2）3中正数有（　　）个．A．4 B．3 C．2 D．1难度：0.60真题：2组卷：25
227．（2016秋•锡山区期中）a、b是有理数，且|a|=-a，|b|=b，|a|＞|b|，用数轴上的点来表示a、b，正确的是（　　）A． B． C． D．难度：0.60真题：2组卷：16
228．（2016秋•武胜县校级期中）下列语句：①一个数的绝对值一定是正数；  ②-a一定是一个负数；③没有绝对值为-3的数；④若|a|=a，则a是一个正数；⑤在原点左边离原点越远的数就越小；正确的有（　　）个．A．0 B．3 C．2 D．4难度：0.60真题：2组卷：38
229．（2016秋•宝应县期中）-13的绝对值是（　　）A．13B．-3 C．3 D．−13难度：0.60真题：2组卷：5
230．（2016秋•句容市期中）下列说法中正确的是（　　）A．如果两个数的绝对值相等，那么这两个数相等B．有理数分为正数和负数C．互为相反数的两个数的绝对值相等D．最小的整数是0难度：0.60真题：2组卷：13
231．（2016秋•兴化市期中）如图，四个有理数数m，n，p，q在数轴上对应的点分别为M，N，P，Q，若n+q=0，则m，n，p，q四个有理数中，绝对值最小的一个是（　　）A．p B．q C．m D．n难度：0.60真题：2组卷：16
232．（2016秋•绥棱县校级期中）若|a|=5，|b|=6，且a＞b，则a+b的值为（　　）A．-1或11 B．1或-11 C．-1或-11 D．11难度：0.60真题：2组卷：12
233．（2016秋•上蔡县校级期中）在-12，-|12|，-20，0，-（-5）中，负数的个数有（　　）A．2个 B．3个 C．4个 D．5个难度：0.60真题：2组卷：3
234．（2016秋•金牛区校级期中）-|-13|的相反数是（　　）A．13B．-13C．3 D．-3难度：0.60真题：2组卷：9
235．（2016秋•椒江区校级期中）|a|=-a，则a一定是（　　）A．负数 B．正数 C．零或负数 D．非负数难度：0.54真题：2组卷：130
236．（2016秋•西城区校级期中）若|a|=-a，则a是（　　）A．非负数 B．非正数 C．正数 D．负数难度：0.49真题：2组卷：127
237．（2016春•东阳市期中）若整数a、b满足ab=-10，则|a+b|的值共有（　　）A．2个 B．3个 C．6个 D．无数个难度：0.48真题：2组卷：38
238．（2016秋•环翠区期中）若实数a满足a-|a|=2a，则（　　）A．a≤0 B．a＜0 C．a＞0 D．a≥0难度：0.80真题：1组卷：1
239．（2016秋•潮南区期中）在-（-8），|-7|，-|0|，-（-3）2这四个数中，负数有（　　）A．1个 B．2个 C．3个 D．4个难度：0.80真题：1组卷：4
240．（2016秋•工业园区期中）下列各数：-（+3），-|-4|，-325，-（-1）2015，（-13）2，-22，-0.1010010001┅（每个1之间的0逐次增加）中，负有理数的个数是（　　）A．2 B．3 C．4 D．5难度：0.80真题：1组卷：8
241．（2016秋•江阴市期中）-2的绝对值是（　　）A．12B．±2 C．2 D．-2难度：0.80真题：1组卷：4
242．（2016秋•桐乡市期中）有下列各数，0.01，10，-6.67，-13，0，-90，-（-3），-|-2|，-（-42），其中属于非负整数的共有（　　）A．1个 B．2个 C．3个 D．4个难度：0.80真题：1组卷：11
243．（2016春•新泰市期中）数m、n在数轴上表示如图，下列判断正确的是（　　）A．|m|＞1 B．n＞-1 C．m+n=|m|-|n| D．m+n＞0难度：0.80真题：1组卷：213
244．（2016秋•姑苏区校级期中）已知xyz|xyz|=1，则|x|x+y|y|+|z|z值为多少（　　）A．1或-3 B．1或-1 C．-1或3 D．3或-3难度：0.60真题：1组卷：4
245．（2016秋•微山县期中）23的绝对值是（　　）A．23B．-23C．32D．-32难度：0.60真题：1组卷：3
246．（2016秋•沙坪坝区期中）若有理数m，n在数轴上的位置如图所示，下列各式正确的是（　　）A．-m＜0 B．m+n＞0 C．-n＜|m| D．mn＞0难度：0.60真题：1组卷：9
247．（2016秋•大石桥市校级期中）-|-2|等于（　　）A．-2 B．−12C．2 D．12难度：0.60真题：1组卷：4
248．（2016秋•镇江期中）若x为有理数，x-|x|表示的数是（　　）A．正数 B．非正数 C．负数 D．非负数难度：0.60真题：1组卷：9
249．（2016秋•荣成市校级期中）下列说法中正确的个数有（　　）①-335是负分数； ②2.4不是整数； ③非负有理数不包括零；④正整数、负整数统称为整数；  ⑤0是最小的有理数．⑥有理数的绝对值一定是正数．A．1个 B．2个 C．3个 D．4个难度：0.60真题：1组卷：13
250．（2016秋•西城区校级期中）-5的绝对值为（　　）A．15B．5 C．-5 D．25难度：0.60真题：1组卷：1
251．（2016秋•鼓楼区期中）下面各对数中互为相反数的是（　　）A．2 与-（-2） B．-2 与-|2| C．|-2|与|2| D．2 与-|-2|难度：0.60真题：1组卷：4
252．（2016秋•平舆县期中）在有理数中，有（　　）A．最小的数 B．最大的数C．绝对值最小的数 D．绝对值最大的数难度：0.60真题：1组卷：3
253．（2016秋•无棣县期中）下列各式中一定为负数的是（　　）A．-（-1） B．-|-1| C．-（-1）3 D．（-1）2难度：0.60真题：1组卷：0
254．（2016秋•乳山市期中）下列说法正确的是（　　）A．一个数的相反数一定比0小B．互为相反数的两个数的绝对值相等C．一个数的绝对值一定是正数D．若两个数的绝对值相等，则这两个数相等难度：0.60真题：1组卷：2
255．（2016秋•胶州市期中）−12的绝对值等于（　　）A．−12B．-2 C．12D．2难度：0.60真题：1组卷：0
256．（2016秋•西城区校级期中）下列说法中正确的是（　　）A．|a|一定是正数 B．-a一定是负数C．-（-a）一定是正数 D．如果|a|a＝−1，那么a＜0难度：0.60真题：1组卷：8
257．（2016秋•江阴市期中）如图，数轴上A、B两点分别对应的数为a、b，则下列结论错误的是（　　）A．a+b＜0 B．ab＜0 C．|b|=b D．|a|＜|b|难度：0.60真题：1组卷：9
258．（2016秋•南京期中）-12的绝对值是（　　）A．-2 B．12C．-12D．2难度：0.60真题：1组卷：3
259．（2016秋•桑植县期中）若|x|=-x，则x是（　　）A．0 B．负数 C．非正数 D．非负数难度：0.60真题：1组卷：7
260．（2016秋•苏州期中）有理数a、b在数轴上的位置如图所示，则下列各式中错误的是（　　）A．b＜a B．|b|＞|a| C．a+b＞0 D．ab＜0难度：0.60真题：1组卷：7
261．（2016秋•南安市期中）若|a|=2，则a的值为（　　）A．2 B．-2 C．±2 D．不确定难度：0.60真题：1组卷：3
262．（2016秋•嵊州市期中）有理数a，b在数轴上对应的位置如图所示，那么代数式|a+1|a+1-|a|a+b−a|a−b|-1−b|b−1|的值是（　　）A．2 B．0 C．1 D．-1难度：0.60真题：1组卷：16
263．（2016秋•茂南区校级期中）|-12|=（　　）A．0 B．−12C．+12D．1难度：0.60真题：1组卷：5
264．（2016秋•单县期中）已知，a，b是不为0的有理数，且|a|=-a，|b|=b，|a|＞|b|，那么用数轴上的点来表示a，b时，正确的是（　　）A． B． C． D．难度：0.60真题：1组卷：16
265．（2016秋•大冶市校级期中）若m是有理数，则|m|+m的值（　　）A．一定是正数B．可能是正数，也可能是负数C．一定是负数D．不可能是负数难度：0.60真题：1组卷：1
266．（2016秋•肥城市期中）若a＜0，则|a|的相反数是（　　）A．1aB．-1aC．a D．-a难度：0.60真题：1组卷：0
267．（2016秋•江阴市期中）在数-12，-|-3|，+[-（-5）]，（-2）3，中负数的个数是（　　）A．4个 B．3个 C．2个 D．1个难度：0.60真题：1组卷：4
268．（2016秋•濮阳期中）已知a，b在数轴上的位置如图，则下列式子正确的是（　　）A．a-b＞a B．|a|＜b-a C．b-a＜a-b D．-a＜b难度：0.60真题：1组卷：8
269．（2016秋•瑞安市校级期中）有理数a，b在数轴上的位置如图所示，则下列结论中，正确的是（　　）A．a-b＞0 B．a+b＞0 C．ab＞0 D．|a|＞|b|难度：0.60真题：1组卷：12
270．（2016秋•瑞安市校级期中）下列说法不正确的是（　　）A．任何有理数都有绝对值 B．整数、分数统称有理数C．最大的负数是-1 D．零是最小的自然数难度：0.60真题：1组卷：10
271．（2016秋•江北区校级期中）已知ab＞0，则a|a|+|b|b+ab|ab|=（　　）A．3 B．-3 C．3或-1 D．3或-3难度：0.60真题：1组卷：34
272．（2016秋•栾城区期中）已知x，y都是负有理数，那么|x|x+y|y|的值应为（　　）A．0 B．2C．-2 D．以上均有可能难度：0.60真题：1组卷：7
273．（2016秋•莲都区期中）在-（+2），+（-2），-|-2|，|-（-2）|，-（-12）中，负数有（　　）A．2个 B．3个 C．4个 D．5个难度：0.60真题：1组卷：1
274．（2016春•江津区期中）|2|的相反数为（　　）A．-2 B．2 C．12D．-12难度：0.60真题：1组卷：0
275．（2016秋•天宁区期中）如果|a|＞0，则a（　　）A．一定是正数 B．一定是负数C．一定不是负数 D．不等于0难度：0.60真题：1组卷：5
276．（2016秋•青山区期中）-3的绝对值是（　　）A．3 B．±3 C．-3 D．13难度：0.60真题：1组卷：3
277．（2016秋•东至县期中）在-（-8），（-1）2007，-32，-|-1|，-|0|，π3，-2.131131113中，负有理数共有（　　）A．4个 B．3个 C．2个 D．1个难度：0.60真题：1组卷：10
278．（2016秋•姜堰区期中）-2的绝对值是（　　）A．-12B．±2 C．2 D．-2难度：0.60真题：1组卷：5
279．（2016秋•泰山区期中）下列各数：0.01，10，-6.67，-13，0，-（-3），-|-2|，-（-42）．其中是正数的共有（　　）A．1个 B．2个 C．3个 D．4个难度：0.60真题：1组卷：6
280．（2016秋•和平区期中）如果|-3x|=3x，则x的取值范围是（　　）A．x＞0 B．x≥0 C．x≤0 D．x＜0难度：0.60真题：1组卷：14
281．（2016秋•义马市期中）如图，数轴上的A、B、C三点所表示的数分别为a，b，c，其中AB的长度与BC的长度相等，如果|a|＞|c|＞|b|，那么该数轴的原点O的位置应该在（　　）A．点A的左边 B．点A与点B之间，靠近点AC．点B与点C之间，靠近点B D．点C的右边难度：0.60真题：1组卷：11
282．（2016秋•蚌埠期中）-（-12）的绝对值是（　　）A．-12B．12C．2 D．-2难度：0.60真题：1组卷：3
283．（2016秋•长泰县期中）已知：有理数a，b满足ab＜0，则|a|a+|b|b的值为（　　）A．±2 B．-1 C．1 D．0难度：0.60真题：1组卷：10
284．（2016秋•苏州期中）如果a与1互为相反数，则|a-2|等于（　　）A．1 B．-1 C．-3 D．3难度：0.60真题：1组卷：8
285．（2016秋•南安市期中）有理数a、b在数轴上表示如图，则下列等式错误的是（　　）A．|a|=-a B．|b|=b C．|a+b|=a+b D．|a-b|=a-b难度：0.60真题：1组卷：9
286．（2016秋•苏州期中）有下列各数，8，-6.7，0，-80，-13，-（-4），-|-3|，-（-22），其中属于非负整数的共有（　　）A．1个 B．2个 C．3个 D．4个难度：0.60真题：1组卷：7
287．（2016秋•西华县期中）|-17|等于（　　）A．-7 B．7 C．-17D．17难度：0.60真题：1组卷：3
288．（2016秋•莱城区校级期中）若有理数a、b在数轴上的位置如图所示，下列说法不正确的是（　　）A．|a|＞|b| B．-2＜a＜-1，0＜b＜1C．a+b＜0 D．a＞-1，0＜b＜1难度：0.60真题：1组卷：10
289．（2016秋•太谷县校级期中）在有理数|-1|、（-1）2014、-（-1）、（-1）2015、-|-1|中负数有几个（　　）A．0 B．1 C．2 D．3难度：0.60真题：1组卷：0
290．（2016秋•南通期中）若a|a|+b|b|=0，则ab|ab|的值为（　　）A．-2 B．-1 C．0 D．1难度：0.60真题：1组卷：7
291．（2016秋•西陵区校级期中）|-a|=-a，则a的范围是（　　）A．a≤0 B．a≥0 C．a＞0 D．a＜0难度：0.60真题：1组卷：3
292．（2016秋•西陵区校级期中）若|x|=x，则x是（　　）A．非正数 B．非负数 C．正数 D．负数难度：0.60真题：1组卷：2
293．（2016秋•射阳县校级期中）下列各组数中，互为相反数的是（　　）A．-3与-13B．3和|-3| C．-1与-|-1| D．-12和|-12|难度：0.60真题：1组卷：3
294．（2016秋•大祥区校级期中）已知|a|=3，则-a的值为（　　）A．3 B．-3 C．±3 D．9难度：0.60真题：1组卷：2
295．（2016秋•宜昌期中）下列各组数中相等的是（　　）A．-4与-（-4） B．-4与|-4| C．-4与-|-4| D．-4与|4|难度：0.60真题：1组卷：3
296．（2016秋•马鞍山期中）下列说法不正确的是（　　）A．0既不是正数，也不是负数B．绝对值最小的数是0C．绝对值等于自身的数只有0和1D．平方等于自身的数只有0和1难度：0.40真题：1组卷：442
297．（2016秋•碑林区校级月考）已知：abc≠0，且M=|a|a+|b|b+|c|c+|abc|abc，当a、b、c取不同的值时，M有（　　）A．惟一确定的值 B．3种不同的取值C．4种不同的取值 D．8种不同的取值难度：0.54真题：12组卷：440
298．（2016秋•萧山区月考）一个数的绝对值等于它的相反数的数一定是（　　）A．负数 B．正数 C．负数或零 D．正数或零难度：0.73真题：11组卷：94
299．（2016秋•睢宁县校级月考）绝对值小于3的所有整数的和与积分别是（　　）A．0，-2 B．0，0 C．3，2 D．0，2难度：0.79真题：9组卷：80
300．（2016秋•宜兴市校级月考）绝对值等于本身的数有（　　）A．0个 B．1个 C．2个 D．无数个难度：0.60真题：9组卷：282
301．（2016秋•姜堰区校级月考）下列说法中，正确的是（　　）A．任何有理数的绝对值都是正数B．如果两个数不相等，那么这两个数的绝对值也不相等C．任何一个有理数的绝对值都不是负数D．只有负数的绝对值是它的相反数难度：0.73真题：6组卷：81
302．（2016秋•会宁县校级月考）下列各组数中，不相等的一组是（　　）A．-（+7），-|-7| B．-（+7），-|+7| C．+（-7），-（+7） D．+（+7），-|-7|难度：0.70真题：6组卷：634
303．（2016秋•永嘉县校级月考）|-3|=（　　）A．-3 B．-2 C．3 D．2难度：0.83真题：5组卷：17
304．（2016秋•富顺县月考）当|a|=5，|b|=7，且|a+b|=a+b，则a-b的值为（　　）A．-12 B．-2或-12 C．2 D．-2难度：0.73真题：5组卷：43
305．（2016秋•揭阳月考）下列说法正确的是（　　）A．零是最小的有理数B．如果两数的绝对值相等，那么这两数也一定相等C．正数和负数统称有理数D．互为相反数的两个数之和为零难度：0.73真题：5组卷：44
306．（2016秋•商水县校级月考）若|x|=-x，则x一定是（　　）A．负数 B．负数或零 C．零 D．正数难度：0.54真题：5组卷：96
307．（2016秋•滨州月考）若|x|=|y|，那么x与y之间的关系是（　　）A．相等 B．互为相反数C．相等或互为相反数 D．无法判断难度：0.49真题：5组卷：142
308．（2016秋•罗田县校级月考）若-|a|=-3.2，则a是（　　）A．3.2 B．-3.2 C．±3.2 D．以上都不对难度：0.71真题：4组卷：23
309．（2016秋•武城县月考）一个数的绝对值等于它的相反数，这个数不会是（　　）A．负整数 B．负分数 C．0 D．正整数难度：0.68真题：4组卷：90
310．（2016秋•龙潭区校级月考）如果两个数的绝对值相等，那么这两个数是（　　）A．互为相反数 B．相等C．积为0 D．互为相反数或相等难度：0.54真题：4组卷：35
311．（2016秋•太谷县校级月考）绝对值小于3.1的整数有（　　）个．A．5 B．6 C．7 D．8难度：0.83真题：3组卷：28
312．（2016秋•石鼓区校级月考）绝对值为4的数是（　　）A．±4 B．4 C．-4 D．2难度：0.82真题：3组卷：37
313．（2016秋•房山区校级月考）已知|x|=-x，那么x一定（　　）A．大于零 B．小于零C．等于零 D．小于或等于零难度：0.81真题：3组卷：15
314．（2016秋•新沂市校级月考）若一个数的绝对值是5，则这个数是（　　）A．5 B．-5 C．±5 D．以上都不对难度：0.78真题：3组卷：22
315．（2016秋•诸城市月考）|x|=3，则x的值为（　　）A．3 B．-3 C．±3 D．13难度：0.75真题：3组卷：124
316．（2016秋•碑林区校级月考）下列每组数中，相等的是（　　）A．-（-5）和-5 B．+（-5）和-（-5） C．-（-5）和|-5| D．-（-5）和-|-5|难度：0.68真题：3组卷：35
317．（2016秋•德州月考）下列式子中，正确的是（　　）A．|−0.5|＝−12B．-|-5|=5 C．|-5|=5 D．−|−12|＝12难度：0.60真题：3组卷：16
318．（2016秋•宜兴市校级月考）若abc＞0，则|a|a+|b|b+|c|c+|abc|abc的值为（　　）A．±4 B．4或0 C．±2 D．±4或0难度：0.60真题：3组卷：28
319．（2016秋•洪泽县月考）若|a|=1，|b|=4，且a、b异号，则a+b等于（　　）A．5 B．-5 C．3 D．±3难度：0.53真题：3组卷：30
320．（2016秋•姜堰区校级月考）若|a|=5，|b|=2，a＜b，则a，b分别为（　　）A．5，-2 B．-5，-2C．-5，2 D．-5，-2或-5，2难度：0.48真题：3组卷：200
321．（2016秋•东莞市月考）下列说法中，正确的是（　　）A．绝对值小于113的整数是0、1B．绝对值小于113的整数是-1、0、1C．绝对值小于113的整数是-1、1D．绝对值小于113的整数是1难度：0.83真题：2组卷：9
322．（2016秋•罗田县校级月考）若|a|=3，|b|=7，则|a+b|的值是（　　）A．10 B．4 C．10或4 D．以上都不对难度：0.81真题：2组卷：12
323．已知|a|=5，|b|=3，且|a-b|=b-a，那么a+b的值为（　　）A．2 B．-8 C．-2或-8 D．2或-8难度：0.81真题：1组卷：17
324．（2016秋•江津区校级月考）下列说法中，正确的是（　　）A．对于任意的有理数，如果a+b=0，则|a|=|b|B．对于任意的有理数，如果a≠0，b≠0，则a+b≠0C．对于任意的有理数，如果|a|=|b|，则a+b=0D．若|a|=7，|b|=10，则|a+b|=17难度：0.81真题：2组卷：20
325．（2016春•桐柏县期末）若|x|+x=0，则x一定是（　　）A．负数 B．0 C．非正数 D．非负数难度：0.73真题：2组卷：352
326．（2016秋•江岸区校级月考）下列式子正确的是（　　）A．|5|=|-5| B．-|5|=|-5| C．-5=|-5| D．-|-5|=-（-5）难度：0.71真题：2组卷：35
327．（2016春•新泰市校级月考）如果甲数的绝对值大于乙数的绝对值，那么（　　）A．甲数必定大于乙数B．甲数必定小于乙数C．甲乙两数一定异号D．甲乙两数的大小根据具体值确定难度：0.71真题：2组卷：339
328．（2016秋•海拉尔区校级月考）下列式子中，正确的是（　　）A．若|a|=|b|，则a=b B．若a=b，则|a|=|b|C．若a＞b，则|a|＞|b| D．若|a|＞|b|，则a＞b难度：0.68真题：2组卷：46
329．（2016秋•江津区校级月考）若|a|=|b|，则a与b的关系是（　　）A．a=b B．a=-b C．a=±b D．无法确定难度：0.68真题：2组卷：47
330．（2016秋•商水县校级月考）若|a|=7，|b|=10，则|a+b|的值为（　　）A．3 B．17 C．3或17 D．-17或-3难度：0.63真题：2组卷：22
331．（2016秋•石家庄月考）-13绝对值的相反数是（　　）A．13B．-13C．3 D．-3难度：0.60真题：2组卷：5
332．（2016秋•东海县校级月考）如果|x|=5，|y|=3，且x+y＞0，那么x-y的值是（　　）A．2或8 B．2或-8 C．-2或8 D．-2或-8难度：0.60真题：2组卷：13
333．（2016秋•简阳市月考）一个数x的相反数的绝对值为3，则这个数是（　　）A．3 B．-3 C．|-x| D．±3难度：0.60真题：2组卷：8
334．（2016秋•仪征市校级月考）设a、b为任意两个有理数，且ab=|ab|，那么（　　）A．ab＞0或a=0，或b=0 B．ab＞0，或a=0C．a＜0且b＜0 D．a，b同号或b=0难度：0.60真题：2组卷：16
335．（2016秋•回民区校级月考）已知a、b表示两个非零的有理数，则|a|a+|b|b的值不可能是（　　）A．2 B．-2 C．1 D．0难度：0.60真题：2组卷：12
336．（2016秋•高安市校级月考）若m•n≠0，则|m|m+|n|n的取值不可能是（　　）A．0 B．1 C．2 D．-2难度：0.60真题：2组卷：19
337．（2016秋•江阴市校级月考）下列几对数中，互为相反数的是（　　）A．-（-3）和+（-3） B．-（+3）和+（-3） C．-（-3）和+|-3| D．+（-3）和-|-3|难度：0.60真题：2组卷：7
338．（2016春•山西校级月考）我们是这样研究一个数绝对值的性质的：当a＞0时，如a=6，则|a|=|6|=6，此时a的绝对值是它本身；当a=0时，|a|=0，此时a的绝对值是零；当a＜0时，如a=-6，则|a|=|-6|=6，此时a的绝对值是它的相反数．这种分析问题的方法所体现的数学思想是（　　）A．转化思想 B．分类思想C．数形结合思想 D．公理化思想难度：0.60真题：2组卷：146
339．（2016秋•江都区月考）下列各组数中，互为相反数的是（　　）A．2与12B．-（+3）与+（-3） C．-1与-（-1） D．2与|-2|难度：0.60真题：2组卷：7
340．（2016秋•锡山区校级月考）对于任意有理数a，下列结论中，正确的是（　　）A．|a|是正数 B．-a是负数 C．-|a|是负数 D．|a|不是负数难度：0.60真题：2组卷：16
341．（2016秋•石家庄月考）有理数a、b在数轴上表示的点如图所示，则下列选项正确的是（　　）A．-a＞b B．a＜-b C．|a|＞|b| D．|a|＜|b|难度：0.60真题：2组卷：24
342．（2016秋•江阴市校级月考）有理数a，b对应的点在数轴上的位置如图，则下列结论正确的是（　　）A．a-b＞0 B．|a|＞|b| C．ab＜0 D．a+b＜0难度：0.60真题：2组卷：10
343．（2016秋•长清区校级月考）绝对值小于3.99的整数有（　　）个．A．5 B．6 C．7 D．8难度：0.53真题：2组卷：51
344．（2016秋•沙坪坝区校级月考）如果|x-3|=|-5|，那么x等于（　　）A．5 B．-5 C．+5或-5 D．8或-2难度：0.49真题：2组卷：54
345．（2016秋•富顺县月考）有理数a、b在数轴上的位置如图所示，在下列结论中：①ab＜0；②a+b＞0；  ③a-b＜0；④|a|＞|b|正确的结论有（　　）A．1个 B．2个 C．3个 D．4个难度：0.80真题：1组卷：9
346．（2016秋•江阴市校级月考）下列说法正确的是（　　）A．若|x|＜0，则x＜0 B．|a|=b，则a=bC．若-|m|=-2，则m=±2 D．-a是负数难度：0.80真题：1组卷：6
347．（2016秋•高新区校级月考）下列结论正确的是（　　）A．若|x|=|-y|，则x=-y B．若x=-y，则|x|=|y|C．若a＜0，则-（-a）＞0 D．-|a|一定是负数难度：0.80真题：1组卷：7
348．（2016秋•宜兴市月考）下列各对数中，互为相反数的是（　　）A．2与12B．-（-3）和+|-3| C．-（-2）与-|-2| D．+（-5）与-（+5）难度：0.80真题：1组卷：11
349．（2016秋•宜兴市月考）下列各式中，等号不成立的是（　　）A．|-3|=3 B．-|3|=-|-3| C．|3|=|-3| D．-|-3|=3难度：0.80真题：1组卷：10
350．（2016秋•巴南区校级月考）下列有理数中，负数的个数是（　　）①-（-1）②-（-2）2③-|-3|④-（-4）3⑤-22．A．1个 B．2个 C．3个 D．4个难度：0.80真题：1组卷：13
351．（2016秋•华龙区校级月考）如果|-2a|=-2a，则a的取值范围是（　　）A．a＞0 B．a≥0 C．a≤0 D．a＜0难度：0.80真题：1组卷：3
352．（2016秋•长春月考）下列各组数中，互为相反数的是（　　）A．-（+7）和+（-7） B．-（-7）与7C．-|-115|与-（-65） D．+（-1100）与+（-0.01）难度：0.80真题：1组卷：4
353．（2016秋•临河区月考）下列说法正确的是（　　）A．一个数的相反数一定是负数B．若|a|=|b|，则a=bC．若|m|=2，则m=±2D．-a一定是负数难度：0.60真题：1组卷：2
354．（2016秋•盐都区校级月考）下列各式正确的是（　　）A．-|-3|=3 B．+（-3）=3 C．-（-3）=3 D．|-3|=-3难度：0.60真题：1组卷：4
355．（2016秋•石林县月考）下列的数中，负有理数的个数为（　　）-12，-（-2），-|-7|，|-23|，-（+115）．A．2个 B．3个 C．4个 D．5个难度：0.60真题：1组卷：3
356．（2016秋•江阴市校级月考）在0，-1，|-2|，-（-3），5，3.8，-125，16，π中，正整数的个数是（　　）A．1个 B．2个 C．3个 D．4个难度：0.60真题：1组卷：3
